date,cost
2020-03-22,CAD$ 11.21
2020-03-21,CAD$ 10.80
2020-03-21,CAD$ 4.39
2020-03-19,CAD$ 17.49
2020-03-11,CAD$ 39.99
2020-03-07,CAD$ 35.22
2020-02-25,CAD$ 45.49
2020-02-16,CAD$ 11.39
2020-02-03,CAD$ 29.99
2020-02-01,CAD$ 45.98
2020-01-26,CAD$ 28.37
2020-01-26,CAD$ 21.74
2020-01-25,CAD$ 17.39
2020-01-24,CAD$ 23.99
2020-01-16,CAD$ 21.74
2020-01-12,CAD$ 17.49
2020-01-10,CAD$ 13.04
2019-12-18,CAD$ 20.51
2019-12-08,CAD$ 11.49
2019-11-24,CAD$ 17.49
2019-11-17,CAD$ 79.99
2019-10-12,CAD$ 15.39
2019-10-01,CAD$ 20.49
2019-09-29,CAD$ 5.01
2019-09-25,CAD$ 64.99
2019-09-13,CAD$ 28.99
2019-09-03,CAD$ 15.95
2019-08-17,CAD$ 19.37
2019-07-31,CAD$ 18.75
2019-07-27,CAD$ 15.74
2019-07-27,CAD$ 16.99
2019-07-06,CAD$ 37.69
2019-06-30,CAD$ 17.77
2019-06-29,CAD$ 61.56
2019-06-29,CAD$ 4.79
2019-06-02,CAD$ 28.99
2019-05-28,CAD$ 20.51
2019-05-25,CAD$ 5.60
2019-05-25,CAD$ 24.99
2019-05-18,CAD$ 25.15
2019-05-05,CAD$ 28.89
2019-05-04,CAD$ 33.99
2019-04-21,CAD$ 79.99
2019-04-20,CAD$ 24.23
2019-04-08,CAD$ 14.61
2019-03-30,CAD$ 49.99
2019-03-28,CAD$ 24.99
2019-03-26,CAD$ 22.19
2019-03-10,CAD$ 18.84
2019-02-23,CAD$ 2.19
2019-02-09,CAD$ 30.29
2019-02-04,CAD$ 16.99
2019-02-04,CAD$ 17.49
2019-02-03,CAD$ 4.56
2019-02-02,CAD$ 16.19
2019-02-02,CAD$ 22.15
2019-01-27,CAD$ 22.99
2019-01-26,CAD$ 16.99
2019-01-19,CAD$ 14.49
2019-01-04,CAD$ 28.49
2019-01-04,CAD$ 6.02
2019-01-04,CAD$ 6.74
2019-01-04,CAD$ 4.49
2019-01-02,CAD$ 23.99
2018-12-29,CAD$ 48.93
2018-12-29,CAD$ 10.99
2018-12-28,CAD$ 17.09
2018-12-23,CAD$ 35.99
2018-12-23,CAD$ 32.38
2018-12-22,CAD$ 48.23
2018-12-16,CAD$ 11.49
2018-12-15,CAD$ 17.49
2018-12-10,CAD$ 4.95
2018-12-08,CAD$ 30.48
2018-12-01,CAD$ 11.39
2018-11-18,CAD$ 28.89
2018-11-12,CAD$ 51.75
2018-11-12,CAD$ 51.75
2018-11-10,CAD$ 38.99
2018-10-23,CAD$ 83.73
2018-10-12,CAD$ 26.82
2018-10-11,CAD$ 71.99
2018-10-11,CAD$ 85.99
2018-10-08,CAD$ 12.99
2018-09-25,CAD$ 45.49
2018-09-24,CAD$ 16.99
2018-09-23,CAD$ 22.23
2018-09-15,CAD$ 43.48
2018-09-09,CAD$ 33.99
2018-09-09,CAD$ 4.24
2018-09-08,CAD$ 54.26
2018-08-26,CAD$ 25.49
2018-08-18,CAD$ 22.79
2018-08-08,CAD$ 27.99
2018-08-08,CAD$ 27.99
2018-08-08,CAD$ 12.49
2018-08-08,CAD$ 12.49
2018-07-29,CAD$ 74.99
2018-07-14,CAD$ 22.79
2018-07-01,CAD$ 55.85
2018-06-23,CAD$ 14.99
2018-06-23,CAD$ 38.10
2018-06-10,CAD$ 18.49
2018-06-01,CAD$ 22.79
2018-05-05,CAD$ 9.24
2018-04-14,CAD$ 47.99
2018-04-07,CAD$ 10.99
2018-03-24,CAD$ 11.19
2018-03-17,CAD$ 32.99
2018-03-11,CAD$ 66.99
2018-03-08,CAD$ 19.99
2018-03-06,CAD$ 17.49
2018-03-03,CAD$ 68.57
2018-02-24,CAD$ 32.13
2018-02-12,CAD$ 17.99
2018-02-11,CAD$ 28.99
2018-02-11,CAD$ 21.99
2018-02-11,CAD$ 17.49
2018-02-04,CAD$ 21.99
2018-01-20,CAD$ 57.28
2018-01-13,CAD$ 64.98
2018-01-12,CAD$ 11.49
2018-01-04,CAD$ 28.78
2017-12-31,CAD$ 56.99
2017-11-23,CAD$ 19.99
2017-10-15,CAD$ 41.59
2017-10-15,CAD$ 41.59
2017-09-15,CAD$ 54.99
2017-08-29,CAD$ 53.49
2017-08-22,CAD$ 60.00
2017-08-22,CAD$ 21.99
2017-07-30,CAD$ 44.21
2017-07-30,CAD$ 27.38
2017-07-27,CAD$ 22.39
2017-07-21,CAD$ 19.79
2017-06-26,CAD$ 23.23
2017-06-26,CAD$ 34.99
2017-06-18,CAD$ 11.04
2017-06-14,CAD$ 29.49
2017-06-08,CAD$ 29.99
2017-06-06,CAD$ 18.69
2017-06-04,CAD$ 6.59
2017-06-03,CAD$ 4.24
2017-05-23,CAD$ 13.09
2017-05-23,CAD$ 13.09
2017-05-19,CAD$ 18.99
2017-05-18,CAD$ 32.99
2017-05-11,CAD$ 26.39
2017-05-06,CAD$ 79.99
2017-04-25,CAD$ 27.99
2017-04-17,CAD$ 32.99
2017-04-07,CAD$ 21.99
2017-02-23,CAD$ 9.89
2017-02-18,CAD$ 10.99
2017-02-16,CAD$ 20.99
2017-02-11,CAD$ 63.99
2017-02-07,CAD$ 10.99
2017-01-28,CAD$ 10.59
2017-01-28,CAD$ 10.59
2017-01-03,CAD$ 7.36
2016-12-24,CAD$ 53.59
2016-12-11,CAD$ 32.99
2016-12-04,CAD$ 11.89
2016-11-24,CAD$ 15.99
2016-11-18,CAD$ 32.99
2016-11-18,CAD$ 1.86
2016-10-15,CAD$ 10.59
2016-10-15,CAD$ 10.59
2016-10-04,CAD$ 7.79
2016-09-16,CAD$ 69.99
2016-09-11,CAD$ 4.24
2016-09-09,CAD$ 18.69
2016-07-31,CAD$ 26.79
2016-06-11,CAD$ 16.99
2016-06-02,CAD$ 10.99
2016-05-28,CAD$ 38.49
2016-05-17,CAD$ 19.79
2016-05-07,CAD$ 43.99
2016-04-23,CAD$ 66.49
2016-04-07,CAD$ 8.39
2016-04-06,CAD$ 15.29
2016-04-02,CAD$ 15.29
2016-04-02,CAD$ 19.79
2016-03-28,CAD$ 25.00
2016-03-28,CAD$ 16.49
2016-03-28,CAD$ 3.74
2016-03-24,CAD$ 10.99
2016-03-24,CAD$ 5.49
2016-03-19,CAD$ 21.99
2016-03-12,CAD$ 13.99
2016-03-11,CAD$ 15.29
2016-03-11,CAD$ 16.49
2016-03-06,CAD$ 2.49
2016-03-05,CAD$ 10.18
2016-03-03,CAD$ 66.49
2016-03-02,CAD$ 56.68
2016-02-29,CAD$ 23.09
2016-02-21,CAD$ 16.99
2016-02-16,CAD$ 11.19
2016-02-16,CAD$ 11.19
2016-02-16,CAD$ 39.99
2016-02-13,CAD$ 11.21
2016-02-12,CAD$ 12.99
2016-01-28,CAD$ 94.99
2016-01-02,CAD$ 10.19
2016-01-02,CAD$ 2.19
2015-12-31,CAD$ 8.24
2015-12-31,CAD$ 28.97
2015-12-30,CAD$ 8.49
2015-12-30,CAD$ 1.64
2015-12-29,CAD$ 10.99
2015-12-28,CAD$ 46.71
2015-12-26,CAD$ 20.39
2015-12-21,CAD$ 13.99
2015-12-20,CAD$ 16.99
2015-12-19,CAD$ 16.99
2015-12-12,CAD$ 19.99
2015-12-07,CAD$ 4.24
2015-12-05,CAD$ 16.99
2015-12-03,CAD$ 27.99
2015-12-03,CAD$ 13.19
2015-12-03,CAD$ 6.59
2015-11-29,CAD$ 2.38
2015-11-28,CAD$ 28.18
2015-11-07,CAD$ 39.38
2015-11-03,CAD$ 33.49
2015-11-02,CAD$ 79.99
2015-10-25,CAD$ 19.79
2015-10-23,CAD$ 32.99
2015-10-10,CAD$ 16.99
2015-10-07,CAD$ 10.99
2015-10-06,CAD$ 26.99
2015-10-01,CAD$ 4.99
2015-09-25,CAD$ 21.99
2015-09-20,CAD$ 23.98
2015-09-19,CAD$ 4.39
2015-09-16,CAD$ 7.19
2015-09-03,CAD$ 13.99
2015-09-03,CAD$ 21.99
2015-09-02,CAD$ 5.49
2015-09-02,CAD$ 7.73
2015-08-30,CAD$ 26.39
2015-08-27,CAD$ 22.39
2015-08-23,CAD$ 11.69
2015-08-21,CAD$ 9.99
2015-08-21,CAD$ 9.99
2015-08-17,CAD$ 8.79
2015-08-10,CAD$ 10.99
2015-08-03,CAD$ 4.99
2015-08-03,CAD$ 5.00
2015-08-01,CAD$ 4.99
2015-08-01,CAD$ 5.00
2015-07-28,CAD$ 15.99
2015-07-27,CAD$ 2.49
2015-07-27,CAD$ 2.49
2015-07-27,CAD$ 5.00
2015-07-23,CAD$ 7.47
2015-07-22,CAD$ 0.61
2015-07-22,CAD$ 2.74
2015-07-22,CAD$ 0.08
2015-07-22,CAD$ 5.00
2015-07-14,CAD$ 27.18
2015-07-12,CAD$ 12.49
2015-07-12,CAD$ 7.80
2015-07-05,CAD$ 0.31
2015-07-05,CAD$ 5.00
2015-07-05,CAD$ 6.27
2015-07-05,CAD$ 6.27
2015-07-03,CAD$ 12.49
2015-07-03,CAD$ 12.47
2015-06-28,CAD$ 12.49
2015-06-28,CAD$ 12.49
2015-06-28,CAD$ 25.00
2015-06-18,CAD$ 44.99
2015-06-18,CAD$ 2.74
2015-06-13,CAD$ 10.10
2015-06-13,CAD$ 21.99
2015-06-10,CAD$ 27.38
2015-05-31,CAD$ 59.99
2015-05-26,CAD$ 21.99
2015-05-26,CAD$ 16.99
2015-05-21,CAD$ 22.10
2015-05-21,CAD$ 16.99
2015-05-02,CAD$ 0.49
2015-05-02,CAD$ 5.00
2015-05-01,CAD$ 12.49
2015-05-01,CAD$ 12.49
2015-04-25,CAD$ 43.59
2015-04-14,CAD$ 69.99
2015-04-12,CAD$ 16.49
2015-04-03,CAD$ 15.29
2015-04-02,CAD$ 29.69
2015-04-01,CAD$ 21.99
2015-03-26,CAD$ 49.99
2015-03-24,CAD$ 14.99
2015-03-07,CAD$ 29.47
2015-03-04,CAD$ 16.99
2015-03-01,CAD$ 19.79
2015-02-27,CAD$ 8.24
2015-02-16,CAD$ 6.99
2015-02-13,CAD$ 18.89
2015-02-11,CAD$ 7.79
2015-02-08,CAD$ 19.99
2015-01-31,CAD$ 10.99
2015-01-21,CAD$ 8.49
2015-01-10,CAD$ 24.74
2015-01-10,CAD$ 6.59
2014-12-23,CAD$ 13.72
2014-12-20,CAD$ 9.05
2014-12-20,CAD$ 4.24
2014-12-19,CAD$ 27.49
2014-11-15,CAD$ 26.99
2014-11-12,CAD$ 6.49
2014-10-26,CAD$ 0.55
2014-10-24,CAD$ 49.99
2014-10-19,CAD$ 59.99
2014-10-16,CAD$ 4.66
2014-10-12,CAD$ 4.74
2014-10-05,$49.99 USD
2014-10-04,$4.99 USD
2014-10-03,$24.99 USD
2014-09-26,$9.99 USD
2014-09-19,$34.99 USD
2014-09-15,$14.99 USD
2014-09-13,$23.99 USD
2014-09-07,$39.99 USD
2014-09-06,$10.04 USD
2014-08-30,$0.12 USD
2014-08-30,$49.99 USD
2014-08-30,$49.51 USD
2014-08-29,$0.09 USD
2014-08-29,$0.17 USD
2014-08-28,$9.99 USD
2014-08-28,$9.99 USD
2014-08-24,$9.99 USD
2014-08-20,$15.99 USD
2014-08-17,$28.80 USD
2014-08-10,$3.59 USD
2014-08-09,$14.99 USD
2014-08-07,$5.99 USD
2014-08-03,$6.24 USD
2014-07-27,$26.99 USD
2014-07-25,$14.99 USD
2014-07-24,$29.99 USD
2014-07-17,$4.99 USD
2014-07-15,$3.99 USD
2014-07-15,$5.00 USD
2014-07-13,$1.49 USD
2014-07-13,$3.99 USD
2014-07-13,$5.00 USD
2014-07-13,$1.49 USD
2014-07-10,$1.49 USD
2014-07-10,$1.49 USD
2014-07-10,$5.00 USD
2014-07-05,$9.99 USD
2014-07-05,$9.99 USD
2014-07-02,$14.99 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-29,$0.49 USD
2014-06-26,$0.49 USD
2014-06-25,$0.49 USD
2014-06-25,$5.00 USD
2014-06-25,$1.99 USD
2014-06-24,$9.99 USD
2014-06-24,$10.00 USD
2014-06-24,$22.49 USD
2014-06-24,$2.99 USD
2014-06-23,$0.49 USD
2014-06-23,$5.00 USD
2014-06-23,$2.49 USD
2014-06-22,$10.00 USD
2014-06-22,$5.24 USD
2014-06-22,$0.49 USD
2014-06-22,$5.00 USD
2014-06-22,$17.99 USD
2014-06-22,$8.99 USD
2014-06-21,$2.49 USD
2014-06-21,$0.49 USD
2014-06-21,$0.99 USD
2014-06-21,$5.00 USD
2014-06-21,$4.41 USD
2014-06-20,$5.00 USD
2014-06-20,$5.00 USD
2014-06-20,$7.49 USD
2014-06-12,$16.23 USD
2014-05-31,$10.00 USD
2014-05-31,$9.99 USD
2014-05-27,$9.99 USD
2014-05-27,$10.00 USD
2014-05-23,$19.99 USD
2014-04-25,$49.99 USD
2014-04-13,$29.99 USD
2014-03-30,$10.04 USD
2014-03-29,$14.99 USD
2014-03-09,$12.99 USD
2014-03-04,$14.99 USD
2014-02-23,$38.85 USD
2013-12-31,$3.74 USD
2013-12-28,$2.49 USD
2013-12-27,$7.58 USD
2013-12-27,$7.49 USD
2013-12-26,$3.99 USD
2013-12-25,$1.14 USD
2013-12-25,$9.98 USD
2013-12-24,$2.99 USD
2013-12-24,$3.99 USD
2013-12-23,$1.99 USD
2013-12-23,$15.48 USD
2013-12-23,$1.49 USD
2013-12-22,$18.08 USD
2013-12-22,$18.23 USD
2013-12-21,$9.99 USD
2013-12-14,$9.99 USD
2013-12-12,$14.99 USD
2013-12-06,$7.99 USD
2013-12-06,$7.99 USD
2013-12-05,$14.99 USD
2013-12-03,$3.39 USD
2013-12-01,$7.49 USD
2013-12-01,$1.98 USD
2013-11-29,$13.98 USD
2013-11-27,$7.99 USD
2013-11-27,$35.10 USD
2013-11-24,$19.99 USD
2013-11-14,$14.99 USD
2013-11-07,$13.49 USD
2013-11-03,$29.99 USD
2013-10-30,$14.99 USD
2013-10-29,$7.49 USD
2013-10-29,$24.56 USD
2013-10-26,$19.42 USD
2013-10-26,$4.98 USD
2013-10-22,$19.98 USD
2013-10-20,$2.49 USD
2013-10-19,$0.16 USD
2013-10-19,$5.00 USD
2013-10-19,$0.39 USD
2013-10-18,$19.99 USD
2013-10-17,$8.74 USD
2013-10-16,$25.09 USD
2013-10-15,$24.99 USD
2013-10-11,$12.49 USD
2013-10-10,$26.99 USD
2013-10-10,$26.99 USD
2013-10-09,$8.99 USD
2013-10-03,$3.99 USD
2013-10-03,$2.98 USD
2013-09-30,$2.49 USD
2013-09-29,$35.99 USD
2013-09-23,$14.39 USD
2013-09-23,$14.39 USD
2013-09-12,$13.59 USD
2013-09-01,$12.49 USD
2013-08-20,$49.99 USD
2013-08-09,$18.98 USD
2013-07-21,$12.48 USD
2013-07-19,$2.49 USD
2013-07-19,$2.49 USD
2013-07-19,$5.00 USD
2013-07-16,$14.98 USD
2013-07-13,$4.99 USD
2013-06-28,$14.99 USD
2013-06-26,$4.95 USD
2013-06-23,$2.49 USD
2013-06-23,$2.49 USD
2013-06-23,$5.00 USD
2013-06-14,$2.49 USD
2013-06-14,$2.49 USD
2013-06-14,$5.00 USD
2013-06-04,$1.74 USD
2013-06-04,$3.74 USD
2013-05-28,$13.49 USD
2013-05-26,$7.99 USD
2013-05-23,$17.99 USD
2013-05-03,$49.99 USD
2013-05-01,$6.99 USD
2013-04-26,$12.87 USD
2013-04-26,$1.24 USD
2013-04-25,$19.99 USD
2013-04-23,$5.99 USD
2013-04-21,$7.49 USD
2013-04-20,$6.99 USD
2013-04-19,$11.99 USD
2013-04-18,$23.48 USD
2013-04-16,$10.98 USD
2013-03-31,$19.99 USD
2013-03-31,$12.95 USD
2013-03-23,$2.49 USD
2013-03-21,$15.97 USD
2013-03-12,$10.19 USD
2013-03-10,$25.49 USD
2013-02-14,$25.44 USD
2013-01-28,$11.98 USD
2013-01-24,$14.99 USD
2013-01-24,$19.99 USD
2013-01-07,$9.99 USD
2013-01-06,$19.99 USD
2013-01-03,$8.94 USD
2013-01-03,$5.99 USD
2013-01-03,$14.98 USD
2013-01-02,$4.98 USD
2013-01-02,$11.24 USD
2012-12-30,$9.98 USD
2012-12-27,$12.49 USD
2012-12-25,$11.89 USD
2012-12-23,$39.99 USD
2012-12-21,$2.49 USD
2012-12-09,$14.99 USD
2012-12-06,$13.38 USD
2012-11-24,$4.99 USD
2012-11-23,$8.74 USD
2012-11-19,$11.99 USD
2012-11-05,$39.99 USD
2012-10-25,$5.98 USD
2012-10-24,$14.99 USD
2012-10-10,$49.99 USD
2012-09-27,$59.99 USD
2012-09-08,$8.74 USD
2012-09-02,$7.49 USD
2012-09-01,$2.79 USD
2012-08-28,$59.99 USD
2012-08-22,$19.99 USD
2012-06-12,$9.99 USD
2012-06-09,$7.98 USD
2012-04-22,$2.87 USD
2012-04-19,$14.99 USD
2012-03-31,$59.99 USD
2012-03-23,$9.99 USD
2012-03-14,$2.69 USD
2012-03-04,$9.99 USD
2012-03-03,$2.49 USD
2012-03-01,$4.99 USD
2012-02-29,$8.99 USD
2012-02-24,$10.19 USD
2012-02-22,$4.99 USD
2012-02-20,$2.49 USD
2012-02-07,$59.99 USD
2011-10-07,$16.99 USD
2011-08-15,$19.99 USD
2011-08-15,$14.99 USD
2011-08-12,$29.99 USD
2010-07-04,$49.99 USD
2010-07-01,$5.00 USD
2010-05-29,$49.99 USD